imgPath,imgClass
K:/myCBIR_git/dataset_test/accordion/accordion_image_0000.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0001.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0002.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0003.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0004.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0005.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0006.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0007.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0008.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0009.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0010.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0011.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0012.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0013.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0014.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0015.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0016.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0017.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0018.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0019.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0020.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0021.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0022.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0023.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0024.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0025.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0026.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0027.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0028.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0029.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0030.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0031.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0032.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0033.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0034.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0035.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0036.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0037.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0038.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0039.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0040.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0041.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0042.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0043.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0044.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0045.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0046.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0047.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0048.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0049.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0050.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0051.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0052.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0053.jpg,accordion
K:/myCBIR_git/dataset_test/accordion/accordion_image_0054.jpg,accordion
